session,params,fit,nb_mean,nb_min,robust,n,tpd,R,R_trade,pfR,t,R_h1,R_h2,maxDD
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 6, ""rev_mode"": ""mixed"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 4.0, ""big_sl"": 14.0, ""big_tp"": 40.0, ""std_sl"": 14.0, ""std_tp"": 24.0, ""leg_gap"": 4.0, ""leg_sl"": 18.0, ""leg_tp"": 56.0, ""min_fv"": 50.0, ""min_bos"": 4.0, ""disp_pts"": 8.0, ""stack_gap"": 6.0}",0.675,-0.037,-1.0,-0.037,96,0.27,12.34,0.1285,1.248,0.675,6.41,5.93,-9.32
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""std"", ""wait_open"": false, ""maxpos"": 1, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 200, ""big_thr"": 4.0, ""big_sl"": 14.0, ""big_tp"": 40.0, ""std_sl"": 14.0, ""std_tp"": 16.75, ""leg_gap"": 6.0, ""leg_sl"": 18.0, ""leg_tp"": 24.0, ""min_fv"": 50.0, ""min_bos"": 2.0, ""disp_pts"": 10.0, ""stack_gap"": 6.0}",0.656,0.144,-1.0,0.144,108,0.31,6.7,0.062,1.142,0.656,5.89,0.8,-9.41
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""std"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 4.0, ""big_sl"": 20.0, ""big_tp"": 40.0, ""std_sl"": 12.0, ""std_tp"": 14.0, ""leg_gap"": 8.0, ""leg_sl"": 18.0, ""leg_tp"": 46.0, ""min_fv"": 50.0, ""min_bos"": 0.0, ""disp_pts"": 16.0, ""stack_gap"": 8.0}",0.626,0.047,-1.0,0.047,142,0.4,7.38,0.0519,1.114,0.626,2.9,4.48,-7.52
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""run"", ""open_trade"": false, ""vwap"": false, ""legs"": false, ""leg_max"": 4, ""rev_mode"": ""mixed"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 200, ""big_thr"": 10.0, ""big_sl"": 20.0, ""big_tp"": 40.0, ""std_sl"": 14.0, ""std_tp"": 14.0, ""leg_gap"": 10.0, ""leg_sl"": 18.0, ""leg_tp"": 56.0, ""min_fv"": 24.0, ""min_bos"": 2.0, ""disp_pts"": 8.0, ""stack_gap"": 6.0}",0.577,-0.059,-1.0,-0.059,283,0.8,14.41,0.0509,1.08,0.577,9.48,4.93,-23.07
LDN,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": false, ""vwap"": true, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 200, ""big_thr"": 4.0, ""big_sl"": 10.0, ""big_tp"": 46.0, ""std_sl"": 8.0, ""std_tp"": 16.75, ""leg_gap"": 6.0, ""leg_sl"": 10.0, ""leg_tp"": 24.0, ""min_fv"": 60.0, ""min_bos"": 0.0, ""disp_pts"": 8.0, ""stack_gap"": 6.0}",0.572,0.072,-1.0,0.072,164,0.47,28.07,0.1711,1.186,0.572,7.57,20.5,-51.17
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": false, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""mixed"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 200, ""big_thr"": 8.0, ""big_sl"": 14.0, ""big_tp"": 24.0, ""std_sl"": 10.0, ""std_tp"": 24.0, ""leg_gap"": 4.0, ""leg_sl"": 14.0, ""leg_tp"": 24.0, ""min_fv"": 60.0, ""min_bos"": 0.0, ""disp_pts"": 16.0, ""stack_gap"": 4.0}",0.565,-0.02,-1.0,-0.02,95,0.27,7.43,0.0782,1.14,0.565,5.49,1.94,-7.7
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""run"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 6, ""rev_mode"": ""mixed"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 200, ""big_thr"": 4.0, ""big_sl"": 12.0, ""big_tp"": 60.0, ""std_sl"": 12.0, ""std_tp"": 16.75, ""leg_gap"": 4.0, ""leg_sl"": 14.0, ""leg_tp"": 36.0, ""min_fv"": 60.0, ""min_bos"": 2.0, ""disp_pts"": 6.0, ""stack_gap"": 6.0}",0.53,-0.049,-1.0,-0.049,102,0.29,18.04,0.1769,1.217,0.53,8.23,9.81,-20.94
LDN,"{""offset"": 30, ""window"": 150, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": false, ""legs"": false, ""leg_max"": 4, ""rev_mode"": ""disp_fv"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 14.0, ""big_tp"": 24.0, ""std_sl"": 8.0, ""std_tp"": 20.0, ""leg_gap"": 8.0, ""leg_sl"": 18.0, ""leg_tp"": 24.0, ""min_fv"": 60.0, ""min_bos"": 4.0, ""disp_pts"": 12.0, ""stack_gap"": 4.0}",0.489,-0.176,-1.0,-0.176,95,0.27,10.89,0.1146,1.147,0.489,6.86,4.03,-10.75
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""run"", ""open_trade"": false, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""mixed"", ""wait_open"": false, ""maxpos"": 1, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 200, ""big_thr"": 10.0, ""big_sl"": 14.0, ""big_tp"": 60.0, ""std_sl"": 6.0, ""std_tp"": 20.0, ""leg_gap"": 6.0, ""leg_sl"": 14.0, ""leg_tp"": 24.0, ""min_fv"": 60.0, ""min_bos"": 2.0, ""disp_pts"": 6.0, ""stack_gap"": 8.0}",0.452,-0.184,-1.0,-0.184,89,0.25,16.67,0.1873,1.177,0.452,6.73,9.95,-25.24
LDN,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": false, ""vwap"": false, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 200, ""big_thr"": 8.0, ""big_sl"": 14.0, ""big_tp"": 60.0, ""std_sl"": 14.0, ""std_tp"": 14.0, ""leg_gap"": 6.0, ""leg_sl"": 14.0, ""leg_tp"": 24.0, ""min_fv"": 60.0, ""min_bos"": 2.0, ""disp_pts"": 8.0, ""stack_gap"": 6.0}",0.421,-0.014,-1.0,-0.014,88,0.25,10.37,0.1179,1.13,0.421,7.62,2.75,-30.63
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 2, ""rev_mode"": ""std"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 6.0, ""big_sl"": 12.0, ""big_tp"": 60.0, ""std_sl"": 10.0, ""std_tp"": 16.75, ""leg_gap"": 4.0, ""leg_sl"": 14.0, ""leg_tp"": 36.0, ""min_fv"": 50.0, ""min_bos"": 2.0, ""disp_pts"": 8.0, ""stack_gap"": 4.0}",0.41,-0.196,-1.0,-0.196,119,0.34,6.1,0.0513,1.092,0.41,4.8,1.3,-9.8
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""run"", ""open_trade"": false, ""vwap"": false, ""legs"": false, ""leg_max"": 6, ""rev_mode"": ""mixed"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 200, ""big_thr"": 6.0, ""big_sl"": 10.0, ""big_tp"": 40.0, ""std_sl"": 14.0, ""std_tp"": 12.0, ""leg_gap"": 10.0, ""leg_sl"": 14.0, ""leg_tp"": 56.0, ""min_fv"": 24.0, ""min_bos"": 2.0, ""disp_pts"": 8.0, ""stack_gap"": 6.0}",0.405,-0.033,-1.0,-0.033,290,0.82,10.04,0.0346,1.056,0.405,5.59,4.45,-28.23
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""run"", ""open_trade"": false, ""vwap"": false, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""std"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 16.0, ""big_tp"": 46.0, ""std_sl"": 10.0, ""std_tp"": 14.0, ""leg_gap"": 8.0, ""leg_sl"": 14.0, ""leg_tp"": 36.0, ""min_fv"": 50.0, ""min_bos"": 0.0, ""disp_pts"": 16.0, ""stack_gap"": 8.0}",0.403,-0.103,-1.0,-0.103,186,0.53,8.24,0.0443,1.076,0.403,5.19,3.05,-15.8
LDN,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": false, ""vwap"": true, ""legs"": true, ""leg_max"": 6, ""rev_mode"": ""disp_fv"", ""wait_open"": false, ""maxpos"": 1, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 8.0, ""big_sl"": 20.0, ""big_tp"": 52.0, ""std_sl"": 10.0, ""std_tp"": 14.0, ""leg_gap"": 4.0, ""leg_sl"": 18.0, ""leg_tp"": 46.0, ""min_fv"": 60.0, ""min_bos"": 2.0, ""disp_pts"": 6.0, ""stack_gap"": 4.0}",0.394,-0.375,-1.0,-0.375,107,0.3,12.23,0.1143,1.118,0.394,0.15,12.08,-31.96
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""mixed"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 200, ""big_thr"": 8.0, ""big_sl"": 14.0, ""big_tp"": 52.0, ""std_sl"": 14.0, ""std_tp"": 16.75, ""leg_gap"": 10.0, ""leg_sl"": 14.0, ""leg_tp"": 46.0, ""min_fv"": 50.0, ""min_bos"": 0.0, ""disp_pts"": 10.0, ""stack_gap"": 4.0}",0.37,-0.148,-1.0,-0.148,110,0.31,4.34,0.0394,1.079,0.37,3.21,1.12,-10.45
LDN,"{""offset"": 30, ""window"": 60, ""exit"": ""run"", ""open_trade"": false, ""vwap"": false, ""legs"": false, ""leg_max"": 2, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 0, ""big_thr"": 6.0, ""big_sl"": 10.0, ""big_tp"": 60.0, ""std_sl"": 14.0, ""std_tp"": 20.0, ""leg_gap"": 4.0, ""leg_sl"": 14.0, ""leg_tp"": 46.0, ""min_fv"": 16.0, ""min_bos"": 8.0, ""disp_pts"": 8.0, ""stack_gap"": 4.0}",0.369,-0.21,-1.0,-0.21,155,0.44,11.32,0.073,1.094,0.369,4.96,6.36,-17.45
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""run"", ""open_trade"": false, ""vwap"": false, ""legs"": false, ""leg_max"": 4, ""rev_mode"": ""std"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 12.0, ""big_tp"": 52.0, ""std_sl"": 14.0, ""std_tp"": 16.75, ""leg_gap"": 10.0, ""leg_sl"": 10.0, ""leg_tp"": 36.0, ""min_fv"": 32.0, ""min_bos"": 4.0, ""disp_pts"": 6.0, ""stack_gap"": 6.0}",0.33,-0.315,-1.0,-0.315,147,0.42,4.18,0.0284,1.053,0.33,1.68,2.5,-8.18
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": false, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""mixed"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 10.0, ""big_sl"": 20.0, ""big_tp"": 52.0, ""std_sl"": 14.0, ""std_tp"": 12.0, ""leg_gap"": 8.0, ""leg_sl"": 10.0, ""leg_tp"": 36.0, ""min_fv"": 60.0, ""min_bos"": 0.0, ""disp_pts"": 6.0, ""stack_gap"": 4.0}",0.304,-0.156,-1.0,-0.156,404,1.15,8.94,0.0221,1.043,0.304,2.06,6.89,-22.51
