inst,params,fit0,nb0,robust0,fit1,nb1,robust1,fit2,nb2,robust2,fit3,nb3,robust3
NQ,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 120, ""legs"": true, ""leg_max"": 1, ""legs_mgmt"": ""fixed"", ""leg_window"": 30, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 15, ""gap"": ""off"", ""body_min"": 0.3, ""volf"": ""skip_high"", ""dow"": ""none"", ""big_thr"": 10, ""big_sl"": 35, ""big_tp"": 0, ""std_sl"": 30, ""std_tp"": 50, ""leg_gap"": 25, ""leg_sl"": 25, ""leg_tp"": 90, ""gap_min"": 50, ""be_at"": 0, ""partial"": 0, ""trail"": 0}",0.911,0.688,0.688,1.892,1.621,1.621,2.044,1.711,1.711,1.52,1.302,1.302
NQ,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 120, ""legs"": true, ""leg_max"": 1, ""legs_mgmt"": ""same"", ""leg_window"": 60, ""ma"": 100, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 15, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""fri"", ""big_thr"": 25, ""big_sl"": 40, ""big_tp"": 130, ""std_sl"": 15, ""std_tp"": 0, ""leg_gap"": 10, ""leg_sl"": 35, ""leg_tp"": 0, ""gap_min"": 50, ""be_at"": 0, ""partial"": 3.0, ""trail"": 2.0}",2.177,1.601,1.601,1.833,1.439,1.439,2.668,2.041,2.041,1.515,1.201,1.201
NQ,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 999, ""legs"": true, ""leg_max"": 2, ""legs_mgmt"": ""fixed"", ""leg_window"": 60, ""ma"": 100, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.3, ""volf"": ""off"", ""dow"": ""fri"", ""big_thr"": 10, ""big_sl"": 50, ""big_tp"": 0, ""std_sl"": 20, ""std_tp"": 0, ""leg_gap"": 10, ""leg_sl"": 35, ""leg_tp"": 90, ""gap_min"": 100, ""be_at"": 0, ""partial"": 0, ""trail"": 2.0}",0.907,0.772,0.772,1.81,1.817,1.81,2.095,1.97,1.97,1.654,1.655,1.654
NQ,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 999, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 30, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.3, ""volf"": ""skip_high"", ""dow"": ""none"", ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 30, ""std_tp"": 0, ""leg_gap"": 20, ""leg_sl"": 45, ""leg_tp"": 140, ""gap_min"": 0, ""be_at"": 0, ""partial"": 2.0, ""trail"": 3.0}",0.713,0.655,0.655,2.071,1.912,1.912,1.466,1.275,1.275,1.347,1.269,1.269
NQ,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 120, ""legs"": true, ""leg_max"": 2, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""skip_high"", ""dow"": ""none"", ""big_thr"": 20, ""big_sl"": 35, ""big_tp"": 150, ""std_sl"": 15, ""std_tp"": 60, ""leg_gap"": 20, ""leg_sl"": 35, ""leg_tp"": 140, ""gap_min"": 20, ""be_at"": 2.0, ""partial"": 2.0, ""trail"": 0}",1.938,1.054,1.054,0.695,0.269,0.269,1.832,1.054,1.054,1.732,0.881,0.881
NQ,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 120, ""legs"": true, ""leg_max"": 2, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 20, ""big_sl"": 40, ""big_tp"": 130, ""std_sl"": 25, ""std_tp"": 0, ""leg_gap"": 20, ""leg_sl"": 25, ""leg_tp"": 115, ""gap_min"": 100, ""be_at"": 2.0, ""partial"": 2.0, ""trail"": 0}",2.137,1.723,1.723,1.883,1.409,1.409,2.072,1.819,1.819,1.962,1.613,1.613
NQ,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""skip_high"", ""dow"": ""none"", ""big_thr"": 10, ""big_sl"": 50, ""big_tp"": 80, ""std_sl"": 35, ""std_tp"": 0, ""leg_gap"": 15, ""leg_sl"": 25, ""leg_tp"": 140, ""gap_min"": 20, ""be_at"": 2.0, ""partial"": 0, ""trail"": 2.0}",0.894,0.792,0.792,2.107,1.606,1.606,1.178,1.031,1.031,1.681,1.41,1.41
NQ,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 100, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 10, ""big_sl"": 30, ""big_tp"": 0, ""std_sl"": 35, ""std_tp"": 60, ""leg_gap"": 25, ""leg_sl"": 35, ""leg_tp"": 140, ""gap_min"": 0, ""be_at"": 0, ""partial"": 1.0, ""trail"": 2.0}",1.896,1.39,1.39,0.912,0.371,0.371,2.25,1.572,1.572,1.269,0.698,0.698
NQ,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 180, ""legs"": false, ""leg_max"": 1, ""legs_mgmt"": ""fixed"", ""leg_window"": 60, ""ma"": 100, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 15, ""big_sl"": 30, ""big_tp"": 130, ""std_sl"": 20, ""std_tp"": 30, ""leg_gap"": 20, ""leg_sl"": 35, ""leg_tp"": 0, ""gap_min"": 100, ""be_at"": 2.0, ""partial"": 3.0, ""trail"": 2.0}",2.578,2.192,2.192,1.952,1.591,1.591,2.105,1.895,1.895,1.471,1.248,1.248
NQ,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 180, ""legs"": false, ""leg_max"": 1, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""skip_low"", ""dow"": ""fri"", ""big_thr"": 20, ""big_sl"": 25, ""big_tp"": 100, ""std_sl"": 35, ""std_tp"": 80, ""leg_gap"": 25, ""leg_sl"": 45, ""leg_tp"": 90, ""gap_min"": 20, ""be_at"": 0, ""partial"": 3.0, ""trail"": 3.0}",1.896,1.637,1.637,2.055,1.736,1.736,2.633,2.302,2.302,1.212,0.928,0.928
