baseline,risk,breaker,smart,train_cohorts,train_passed,train_failed,train_open,train_pass_rate,train_med_days,train_fail_daily,train_fail_max,search_cohorts,search_passed,search_failed,search_open,search_pass_rate,search_med_days,search_fail_daily,search_fail_max,final_cohorts,final_passed,final_failed,final_open,final_pass_rate,final_med_days,final_fail_daily,final_fail_max,train_usd_per_day,held_usd_per_day,final_usd_per_day
DISP_FV,750,2000.0,,76,30,40,6,0.429,22.5,0,40,94,26,65,3,0.286,20.0,0,65,9,0,6,3,0.0,,0,6,393.0,-96.3,44.2
DISP_FV,750,2000.0,near,76,37,35,4,0.514,22.0,0,35,94,31,60,3,0.341,18.0,0,60,9,1,5,3,0.167,8.0,0,5,393.0,-96.3,44.2
DISP_FV,750,,,76,23,52,1,0.307,23.0,37,15,94,20,73,1,0.215,20.0,44,29,9,0,6,3,0.0,,6,0,328.4,547.9,-135.3
DISP_FV,750,,near,76,29,46,1,0.387,19.0,30,16,94,30,63,1,0.323,18.5,37,26,9,0,6,3,0.0,,6,0,328.4,547.9,-135.3
DISP_FV,1000,2000.0,,76,34,40,2,0.459,18.5,2,38,94,36,56,2,0.391,19.5,2,54,9,0,6,3,0.0,,0,6,580.3,84.1,515.9
DISP_FV,1000,2000.0,near,76,40,34,2,0.541,17.0,0,34,94,43,49,2,0.467,17.0,0,49,9,1,5,3,0.167,8.0,0,5,580.3,84.1,515.9
DISP_FV,1000,,,76,13,62,1,0.173,17.0,53,9,94,11,82,1,0.118,18.0,68,14,9,0,8,1,0.0,,7,1,438.0,730.5,-180.2
DISP_FV,1000,,near,76,24,51,1,0.32,17.0,38,13,94,26,67,1,0.28,17.0,46,21,9,0,8,1,0.0,,7,1,438.0,730.5,-180.2
DISP_FV,1500,2000.0,,76,23,52,1,0.307,14.0,20,32,94,19,74,1,0.204,13.0,28,46,9,0,6,3,0.0,,2,4,850.7,143.9,773.8
DISP_FV,1500,2000.0,near,76,33,42,1,0.44,13.0,9,33,94,33,60,1,0.355,13.0,16,44,9,2,4,3,0.333,10.0,0,4,850.7,143.9,773.8
DISP_FV,1500,,,76,13,62,1,0.173,13.0,55,7,94,12,81,1,0.129,15.5,67,14,9,0,8,1,0.0,,7,1,657.0,1095.7,-270.4
DISP_FV,1500,,near,76,27,48,1,0.36,13.0,38,10,94,26,67,1,0.28,13.0,49,18,9,0,8,1,0.0,,7,1,657.0,1095.7,-270.4
DISP_FV,2000,2000.0,,76,17,59,0,0.224,13.0,21,38,94,22,72,0,0.234,14.5,23,49,9,0,8,1,0.0,,0,8,810.8,-72.7,719.5
DISP_FV,2000,2000.0,near,76,28,48,0,0.368,10.5,8,40,94,30,64,0,0.319,10.5,13,51,9,1,7,1,0.125,10.0,1,6,810.8,-72.7,719.5
DISP_FV,2000,,,76,7,69,0,0.092,13.0,56,13,94,8,86,0,0.085,17.5,71,15,9,0,8,1,0.0,,8,0,876.1,1460.9,-360.5
DISP_FV,2000,,near,76,18,58,0,0.237,10.0,44,14,94,19,75,0,0.202,10.0,59,16,9,0,8,1,0.0,,8,0,876.1,1460.9,-360.5
DISP_FV+MA100,250,2000.0,,76,22,10,44,0.688,230.5,0,10,94,83,0,11,1.0,167.0,0,0,9,0,0,9,0.0,,0,0,67.6,193.9,23.5
DISP_FV+MA100,250,2000.0,near,76,27,1,48,0.964,231.0,0,1,94,83,0,11,1.0,165.0,0,0,9,0,0,9,0.0,,0,0,67.6,193.9,23.5
DISP_FV+MA100,250,,,76,17,13,46,0.567,231.0,0,13,94,78,3,13,0.963,175.5,0,3,9,0,2,7,0.0,,0,2,61.5,194.5,-2.9
DISP_FV+MA100,250,,near,76,24,4,48,0.857,232.5,0,4,94,78,3,13,0.963,171.0,0,3,9,0,2,7,0.0,,0,2,61.5,194.5,-2.9
DISP_FV+MA100,500,2000.0,,76,18,38,20,0.321,107.5,0,38,94,42,49,3,0.462,73.5,0,49,9,0,6,3,0.0,,0,6,108.4,206.2,-46.0
DISP_FV+MA100,500,2000.0,near,76,35,24,17,0.593,88.0,0,24,94,41,50,3,0.451,62.0,0,50,9,0,5,4,0.0,,0,5,108.4,206.2,-46.0
DISP_FV+MA100,500,,,76,35,40,1,0.467,91.0,30,10,94,37,56,1,0.398,61.0,29,27,9,0,6,3,0.0,,6,0,122.9,389.0,-5.7
DISP_FV+MA100,500,,near,76,37,37,2,0.5,77.0,27,10,94,37,55,2,0.402,49.0,26,29,9,1,5,3,0.167,11.0,5,0,122.9,389.0,-5.7
DISP_FV+MA100,750,2000.0,,76,24,43,9,0.358,34.0,0,43,94,26,65,3,0.286,28.0,0,65,9,0,6,3,0.0,,0,6,185.8,78.2,107.3
