combo,risk,breaker,pstop,smart,trades_per_day,usd_train,cohorts,passed,failed,open,pass_rate,med_days,fail_daily,fail_max
"{""ASIA"": null, ""LDN"": 2, ""NY"": 8}",250,2000.0,,near,0.92,33288,76,49,0,27,1.0,139.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 8}",250,,,,0.93,32692,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 8}",250,,,near,0.93,32692,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 0}",250,4000.0,,,1.09,37059,76,49,0,27,1.0,134.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 0}",250,4000.0,,near,1.09,37059,76,49,0,27,1.0,133.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 0}",250,2000.0,,,1.08,37656,76,49,0,27,1.0,134.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 0}",250,2000.0,,near,1.08,37656,76,49,0,27,1.0,133.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 0}",250,4000.0,,,1.09,37059,76,49,0,27,1.0,134.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 0}",250,4000.0,,near,1.09,37059,76,49,0,27,1.0,133.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 0}",250,3000.0,,,1.09,37059,76,49,0,27,1.0,134.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 0}",250,3000.0,,near,1.09,37059,76,49,0,27,1.0,133.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 9}",250,3000.0,,,1.09,33339,76,49,0,27,1.0,139.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 9}",250,3000.0,,near,1.09,33339,76,49,0,27,1.0,137.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 9}",250,4000.0,,,1.09,33339,76,49,0,27,1.0,139.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 9}",250,4000.0,,near,1.09,33339,76,49,0,27,1.0,137.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 9}",250,,,,1.09,33339,76,49,0,27,1.0,139.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 9}",250,,,near,1.09,33339,76,49,0,27,1.0,137.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 9}",250,4000.0,,,1.09,33339,76,49,0,27,1.0,139.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 9}",250,4000.0,,near,1.09,33339,76,49,0,27,1.0,137.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 9}",250,2000.0,,,1.08,33932,76,49,0,27,1.0,139.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 9}",250,2000.0,,near,1.08,33932,76,49,0,27,1.0,137.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 9}",250,2000.0,,,1.08,33932,76,49,0,27,1.0,139.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 9}",250,2000.0,,near,1.08,33932,76,49,0,27,1.0,137.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 10}",250,3000.0,,,0.95,38358,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 10}",250,3000.0,,near,0.95,38358,76,49,0,27,1.0,138.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 10}",250,4000.0,,,0.95,38358,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 10}",250,4000.0,,near,0.95,38358,76,49,0,27,1.0,138.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 10}",250,2000.0,,,0.94,38955,76,49,0,27,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 10}",250,2000.0,,near,0.94,38955,76,49,0,27,1.0,138.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 4}",500,4000.0,,near,0.66,61810,76,48,0,28,1.0,104.5,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",500,2000.0,,near,0.74,62801,76,48,0,28,1.0,90.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",500,,,near,0.74,62801,76,48,0,28,1.0,90.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 5}",250,,,,1.07,42504,76,48,0,28,1.0,139.5,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 5}",250,3000.0,,,1.07,42504,76,48,0,28,1.0,139.5,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 5}",250,4000.0,,,1.07,42504,76,48,0,28,1.0,139.5,0,0
